number,op,category,tier,cap,deterministic,mem_watch_gb,note
13,standard_matrix_multiplication,matmul,floor,2,no,0.2,"torch.matmul -> cuBLAS SGEMM (M2048 K8192 N4096); near-optimal, bar is cuBLAS not eager -> ~1x"
14,batched_matrix_multiplication,matmul,floor,2,no,1.0,"torch.bmm -> cuBLAS batched GEMM (128x512x1024x2048); ~1x"
15,matmul_with_small_k_dimension,matmul,win,6,no,4.3,"K=64 (M=N=32768): very low arithmetic intensity, cuBLAS over-tiles -> custom bandwidth-bound kernel can beat; out 4.3GB"
16,matmul_with_irregular_shapes,matmul,floor,2,no,0.2,"prime dims 8205x2949x5921; cuBLAS pads efficiently -> ~1x; diagnostic = boundary/masking"
17,matmul_with_transposed_b,matmul,floor,2,no,0.2,"matmul(A,B.T); cuBLAS transpose is a free flag -> ~1x; diagnostic = layout/coalescing"
18,matmul_with_diagonal_matrices,matmul,win,6,no,0.1,"reference MATERIALIZES diag(A) 4096^2 then full GEMM; semantically rowwise scale A[:,None]*B -> large win (avoid N^2 work)"
19,matrix_vector_multiplication,matmul,win,6,no,8.6,"GEMV M2048 x K=1048576; bandwidth-bound reduction; A=8.6GB (mem watch); reduction strategy matters"
20,causal_attention,attention,win,6,no,0.1,"nn.MultiheadAttention + causal float mask, seq=64 d=512 h=4; fuse QKV+masked-softmax; small tensors"
21,scaled_dot_product_attention,attention,win,6,no,6.4,"head_dim=1024 EXCEEDS flash-256 limit -> reference on UNFUSED math/mem-efficient path -> flash-style fusion is a real win; QKV 6.4GB"
22,multi_head_attention,attention,win,6,no,0.1,"nn.MultiheadAttention batch16 seq256 d512 h8; fuse projections+attention"
23,group_query_attention,attention,win,6,no,0.1,"explicit einsum+softmax GQA h16/kv4; unfused ref + repeat_interleave materialization -> fuse & exploit GQA structure"
24,kv_cached_attention_inference,attention,win,6,no,0.1,"q_len=1 pure decode, kv_len=2048 d=4096 head_dim=4096 -> math path; memory-bound decode kernel"
25,sparse_attention,attention,win,6,no,0.1,"windowed (w=32) seq=128; reference builds full LxL then masks -> exploit window sparsity"
26,sum_reduction_over_a_dimension,reduce,win,6,no,8.6,"sum dim=1 of (128,4096,4096); bandwidth-bound; x=8.6GB (mem watch); near roofline -> modest win"
27,max_reduction_over_a_dimension,reduce,win,6,no,8.6,"max dim=1 same shape; bandwidth-bound; 8.6GB watch"
28,mean_reduction_over_a_dimension,reduce,win,6,no,8.6,"mean dim=1 same shape; bandwidth-bound; 8.6GB watch"
29,rms_norm,normalization,win,6,no,8.6,"hand-rolled RMS over dim=1 (features=64) on (128,64,512,512); fuse reduction+normalize; 8.6GB watch"
30,batch_norm,normalization,win,6,no,4.3,"nn.BatchNorm2d; bench never .eval() -> TRAIN mode = per-channel batch stats over (N,H,W); ModelNew must compute batch mean/var NOT running stats; 4.3GB"
31,conv_standard_2d_square_input_square_kernel,convolution,floor,2,no,0.3,"nn.Conv2d 3->96 k11 s4 (AlexNet conv1); cuDNN near-optimal -> ~1x"
32,conv_standard_2d_asymmetric_input_asymmetric_kernel,convolution,floor,2,no,0.5,"nn.Conv2d 64->128 asym input 512x256; cuDNN -> ~1x"
33,conv_depthwise_2d_square_input_square_kernel,convolution,win,6,no,1.0,"depthwise (groups=in) 64ch k3 on 512x512; cuDNN depthwise is suboptimal -> custom kernel can beat"
34,conv_depthwise_separable_2d,convolution,win,6,no,1.0,"depthwise + pointwise(1x1); fuse the two conv stages"
35,conv_pointwise_2d,convolution,floor,2,no,8.6,"1x1 conv == GEMM 64->128 on 1024x1024; cuBLAS -> ~1x; output 8.6GB (mem watch)"
36,conv_transposed_2d_square_input_square_kernel,convolution,win,6,no,2.2,"nn.ConvTranspose2d 64->64 k3 on 1024x1024; cuDNN transposed-conv often suboptimal -> headroom"
37,gemm_add_relu,fuse,win,6,no,0.3,"Linear(8192,8192,no-bias)+bias+relu batch1024; GEMM dominates -> epilogue fusion win only ~1.05-1.15x; diagnostic = can DSL fuse an epilogue"
38,matmul_gelu_softmax,fuse,win,6,no,0.3,"Linear(8192,8192)+gelu+softmax(dim=1) batch1024; GEMM-dominated -> fusion win ~1.1x; diagnostic = epilogue+softmax fusion"
39,scatter_add,index,risk,4,no,0.05,"x.scatter_add dim=1 dup indices via atomicAdd -> float-reorder nondeterminism; rely on bench tolerance (NOT last-wins/--deterministic); verify correctness first"
40,grid_sample_affine,resize,win,6,no,0.1,"F.affine_grid + F.grid_sample bilinear (8,64,128,128); fuse grid-gen + bilinear sample"
